,Text,label
822,a city worker pushing a mobile garbage bin,0
3831,who patented the first phonograph,1
7275,who is band director in,1
2487,the phone load super,0
5603,what is goldenseal,1
1110,two boy bounce in a castle shaped bounce house,0
3330,down the drain because of a weak snap,0
5293,when wa music invented,1
6642,what waterway is mile long,1
8170,how do you ask question,1
535,young men watching sesame street,0
1674,what state ha the longest great lake shoreline,1
6770,what is the name of the deranged us,1
3246,who wrote nn dt nnp nnp,1
8126,what american naval officer broke japan isolationist policy in,1
2983,what erupts every hour at yellowstone national park,1
7282,what song put in the limelight,1
1596,many people wait to eat dinner a the man at the head of the table say grace,0
543,an old man look at his beer,0
1740,in what business venture did jimmy the greek bet and lose,1
473,a group of young adult come together to perform song complete with drum and a guitar,0
4686,in what wa the first patent for the opener on can obtained,1
3403,the rest of the movie lack art charm meaning if it about emptiness it work i guess because it empty,0
1050,a man is sitting down and drawing on a public street,0
659,a man on a street corner work on a drawing,0
3516,what country is the world largest importer of cognac,1
4717,what is magnetar,1
4027,his acting alongside wa brilliant and the ending wa fantastic,0
1283,a picture of some people and a baby in a store,0
2018,this is not a falcon it is a kestrel,0
2519,could not get strong enough signal,0
740,an individual sits at their laptop computer in a loft of book,0
5575,how long did the murder trial last,1
5430,what is swap math,1
778,a young man wearing a purple shirt doe the limbo in a gymnasium,0
1843,two people are walking on a striped path,0
1610,a child in a yellow is playing in the jungle jim,0
1791,what is a fear of strong light,1
319,what company tabulates the ballot in voting for the academy award,1
6587,what is the term that describes a word where only one usage ha been recorded in all literature,1
2317,who is,1
1751,a dog looking over the back of sheep,0
1963,a guy in a white shirt is giving a lecture to a group of kid seated at picnic table outside of a school,0
1853,a woman is holding a baby boy wearing a shirt with on it and a chef hat,0
3398,a very very very aimless movie about a distressed drifting young man,0
878,person doing bicycle jump,0
910,how many cd ha sold,1
882,name the various costumed persona of,1
4388,loc state what state ha the most blonde,1
6389,what are the component of polyester,1
1435,a couple sitting and playing nintendo,0
1877,a woman in a pink shirt is holding an upset looking baby over her shoulder,0
2420,what constellation is known a the water bearer,1
806,what fictional character is known a the melancholy dane,1
4613,who were the,1
4267,at around 4 pm i bought it at around i started to watch at around 8 i fast forwarded the remaining film to see if there wa anything left watchable for a human being with a brain but there wa,0
727,many runner running in an event,0
684,two people are sitting on the grass with the water just below them along with a waterfall,0
3934,the movie is littered with overt racial slur towards the black cast member and in return the white are depicted a moron and boob,0
60,two woman one in a blue halter top and the other a pink shirt enjoy some beer,0
3307,shipped quickly and much cheaper than the competitor,0
6706,what do you need to do to marry someone in jail,1
3099,what country national passenger rail system is called via,1
3484,what movie did star in with,1
3606,what is a golf ball made of,1
8241,what is the chromosome number of an elephant,1
3190,great phone,0
749,a person is riding a horse down a dirt trail,0
1948,what kind of tree grace lebanon flag,1
2885,how do i tie a tie,1
7,man swiftly riding a horse,0
141,what wa the name of the little rascal dog,1
3382,adapter doe not provide enough charging current,0
1181,what literary classic center on the search for a treasure in gold worth 7 0 pound,1
5613,what is chiricahua the name of,1
5863,why did the globe theatre burn down,1
7093,how many claw ha a lobster called a pistol lost,1
3640,what is the origin of the word magic,1
669,a person on a bike ride through a dirt course near the water,0
1247,a boy and girl are playing in bed on top of their father,0
3032,not only did the software do a great job of this i could also make my own ringtones form my existing cd without an internet connection,0
3226,what is the acreage of the chappellet vineyard,1
91,a black woman carrying citrus fruit on a platter that is on her head,0
345,what product did dare people to knock off his shoulder,1
8431,why are sometimes your hand cold but the rest of you isn,1
2820,who wa dead partner in a christmas carol,1
8290,what are the three most successful company of our time,1
3713,so for our enjoyment we get to see them run around play game and be dangerous,0
2396,who is the queen of holland,1
2276,where have the most dinosaur remains been found,1
150,a boy at a skate park is at the apex of his trick while other boy look on,0
632,why do you guy have some sort of contest where you ask a question and whoever find the answer win a prize,1
5295,what sculpture is in saint peter cathedral basilica,1
377,a boy flying a red and white kite,0
2799,very prompt service,0
2539,during several different 2 minute call i experienced 5 drop and it wa in an area that had 5 bar,0
3388,what cbs soap opera wa interrupted by the bulletin of assassination,1
3600,did an incredible job for being so young in the movie industry,0
7279,the kentucky horse park is located near what city,1
3233,the call drop the phone come on and off at will the screen go black and the worst of all it stop ringing intermittently,0
2367,what is hyperopia,1
5419,where did go to college,1
2172,what is a fear of glass,1
5249,what civil war general wreaked havoc on the south by marching through georgia on his way to the sea,1
7409,who did try to assassinate,1
1576,one man set up his pool shot during a tournament while onlooker watch,0
878,why are electric car le efficient in the northeast than in california,1
5065,what do you call the feeling of having experienced something before,1
1198,what is the homelite home page,1
6043,why didn european colonial rule spread until after the first and second industrial revolution,1
4126,very nice and relaxing late night viewing,0
3502,what wa known a the spice island,1
2343,this is not a goat it is a beard,0
2442,what is the name of the largest water conservancy project in china,1
1354,what two baseball player make up the battery,1
5974,who hold the career record for the most major league home run,1
2925,who is the,1
2520,iam very pleased with my purchase,0
6033,with whom did compare,1
3169,how doe it take the moon to revolve around the earth,1
4763,what wa the average life expectancy during the stone age,1
713,six men in blue jumpsuit and a man in an orange jumpsuit walk by a shipyard,0
7764,who wa the first elected mayor of washington,1
2876,how old is singer,1
3354,what ocean is the largest in the world,1
7012,how many american soldier remain unaccounted from the vietnam war,1
1497,what are the odds of giving birth to twin,1
1880,a half naked man push against the trunk of a fig tree,0
1352,what is the approximate population of la vega,1
7507,what the most common street name in america,1
7256,how many country watch mtv europe,1
470,where do hyena live,1
4148,the football scene at the end were perplexing,0
2675,very good phone,0
3661,name a tiger that is extinct,1
7498,what were the five opening word on,1
8429,what sport do the cleaveland cavalier play,1
3469,what film or film ha appeared in,1
2100,what year did nylon stocking first go on sale,1
694,two boxer are fighting one is punching the other,0
360,a man whose face ha been painted silver with white stripe play the violin while dressed in a red cloak and hat,0
3778,all this movie doe is make you sick watching all these slacker make excuse for their stupid action for 9 minute,0
3851,not even good for camp value,0
2748,what american actress wa the first to be called a vamp,1
2894,what do goldfish lose if kept in or running water,1
3654,that wa funny,0
5621,what age is,1
1405,what president favorite biblical quotation wa come now and let u reason together,1
2232,how long is,1
4020,where can i buy a good snowboard for le than 200,1
2653,poor quality and service,0
7617,what is the first book of the old testament,1
4725,what are name of two old men who appear in the serial tv muppets show,1
3190,what therapy attempt to elicit the primal scream,1
3954,both film are terrible but to the credit of the 986 version it wa watchable,0
5624,what is amezaiku,1
4593,what brand number grace the black label of a bottle of jack daniel,1
1298,when were the olympic game in which nadia comaneci became popular played,1
2120,this is not garlic it is home,0
3571,i mean this in a terrible way,0
1360,who sell viagra,1
3833,what do manatee eat,1
1693,a large white dog and a smaller brown dog fight,0
3412,this is a very right on case movie that delivers everything almost right in your face,0
3142,what city boast landing on the bank of the delaware river,1
231,what is the filmmaker collabrative,1
4087,it so bad it actually worth seeing just for that reason,0
3116,it wa a great phone,0
7137,what is the starting salary of a radiographer,1
4230,where doe the rank among world country in area,1
488,what city is the queen of the pacific,1
5118,what enigmatic vice president wa once tried and acquitted for treason in a plot to set up his own independent empire in the west,1
1056,a woman in red lean her head on the shoulder of the woman next to her,0
4393,what mustachioed comedian portrayed in north to alaska,1
1805,what good little witch is casper girlfriend,1
847,several people sit at a table in formal clothing,0
6941,how many day doe a typical mayfly live,1
1572,which of the following rock n roll star ha a star on hollywood boulevard,1
1684,two men in tan coat exchange look on the city sidewalk,0
1067,crowd of people standing near a bench,0
3562,it wa a good thing that the ticket only cost five dollar because i would be mad if i have paid to see this crap,0
550,the man is holding a slow sign,0
5512,what is a guild,1
659,who is,1
2972,what tv show did sing the theme for,1
